date,S1counts,S1SM,S1Perm,S1Temp,S1Volt,S2counts,S2SM,S2Perm,S2Temp,S2Volt,S3counts,S3SM,S3Perm,S3Temp,S3Volt,S4counts,S4SM,S4Perm,S4Temp,S4Volt,S5counts,S5SM,S5Perm,S5Temp,S5Volt,S6counts,S6SM,S6Perm,S6Temp,S6Volt,S7counts,S7SM,S7Perm,S7Temp,S7Volt,S8counts,S8SM,S8Perm,S8Temp,S8Volt,S9counts,S9SM,S9Perm,S9Temp,S9Volt,S10counts,S10SM,S10Perm,S10Temp,S10Volt
30.09.2020 22:10:48,13257,7.55,13.79,29.336,12.09,11219,17.62,31.43,30.391,12.22,10922,20.95,35.69,29.898,12.19,10798,21.65,36.5,29.781,12.11,13789,6.31,11.03,32.117,12.11,14282,5.22,8.5,31.711,12.32,12303,11.54,21.73,30.367,12.22,12980,8.56,15.95,31.75,12.14,15238,3.69,4.74,29.063,12.35,12228,11.75,22.12,29.406,12.04
30.09.2020 22:20:48,13257,7.55,13.79,29.25,12.11,11219,17.62,31.43,30.328,12.24,10922,20.95,35.69,29.922,12.19,10798,21.65,36.5,29.781,12.14,13790,6.3,11.03,32.047,12.11,14283,5.22,8.5,31.578,12.32,12303,11.54,21.73,30.313,12.22,12980,8.56,15.95,31.664,12.14,15238,3.69,4.74,28.992,12.37,12227,11.76,22.13,29.367,12.04
30.09.2020 22:30:48,13257,7.55,13.79,29.227,12.11,11219,17.62,31.43,30.383,12.22,10922,20.95,35.69,29.922,12.19,10798,21.65,36.5,29.781,12.14,13789,6.31,11.03,31.969,12.11,14283,5.22,8.5,31.484,12.32,12302,11.54,21.74,30.266,12.22,12979,8.57,15.95,31.602,12.14,15236,3.69,4.75,28.891,12.37,12227,11.76,22.13,29.414,12.04
30.09.2020 22:40:48,13257,7.55,13.79,29.125,12.11,11219,17.62,31.43,30.375,12.24,10922,20.95,35.69,29.898,12.19,10799,21.64,36.49,29.813,12.14,13790,6.3,11.03,31.875,12.11,14285,5.21,8.49,31.406,12.32,12302,11.54,21.74,30.164,12.22,12978,8.57,15.96,31.563,12.14,15235,3.69,4.75,28.82,12.37,12227,11.76,22.13,29.398,12.04
30.09.2020 22:50:48,13257,7.55,13.79,29.07,12.11,11220,17.61,31.41,30.359,12.24,10922,20.95,35.69,29.922,12.19,10799,21.64,36.49,29.813,12.14,13790,6.3,11.03,31.805,12.14,14286,5.21,8.49,31.242,12.32,12303,11.54,21.73,30.133,12.22,12976,8.58,15.97,31.484,12.14,15235,3.69,4.75,28.766,12.37,12227,11.76,22.13,29.398,12.04
30.09.2020 23:00:48,13257,7.55,13.79,29.016,12.11,11220,17.61,31.41,30.336,12.24,10922,20.95,35.69,29.93,12.19,10799,21.64,36.49,29.781,12.14,13790,6.3,11.03,31.711,12.14,14287,5.21,8.48,31.164,12.32,12302,11.54,21.74,30.063,12.22,12974,8.58,15.98,31.445,12.14,15233,3.69,4.76,28.688,12.37,12227,11.76,22.13,29.43,12.04
30.09.2020 23:10:48,13258,7.55,13.79,28.93,12.11,11220,17.61,31.41,30.328,12.24,10922,20.95,35.69,29.938,12.19,10798,21.65,36.5,29.813,12.14,13790,6.3,11.03,31.656,12.11,14287,5.21,8.48,31.07,12.32,12303,11.54,21.73,30.008,12.22,12972,8.59,16,31.352,12.14,15231,3.7,4.77,28.602,12.37,12226,11.76,22.14,29.422,12.04
30.09.2020 23:20:48,13258,7.55,13.79,28.859,12.11,11220,17.61,31.41,30.336,12.24,10922,20.95,35.69,29.914,12.19,10799,21.64,36.49,29.797,12.14,13790,6.3,11.03,31.57,12.14,14287,5.21,8.48,30.984,12.32,12303,11.54,21.73,29.977,12.22,12970,8.6,16.02,31.281,12.14,15228,3.7,4.78,28.523,12.37,12226,11.76,22.14,29.422,12.04
30.09.2020 23:30:48,13259,7.54,13.78,28.844,12.11,11221,17.6,31.4,30.328,12.24,10922,20.95,35.69,29.953,12.19,10798,21.65,36.5,29.82,12.14,13790,6.3,11.03,31.5,12.14,14288,5.21,8.48,30.898,12.32,12302,11.54,21.74,29.914,12.22,12968,8.6,16.03,31.25,12.14,15229,3.7,4.78,28.445,12.37,12226,11.76,22.14,29.445,12.04
30.09.2020 23:40:48,13259,7.54,13.78,28.758,12.11,11220,17.61,31.41,30.273,12.24,10922,20.95,35.69,29.938,12.19,10799,21.64,36.49,29.805,12.14,13790,6.3,11.03,31.453,12.11,14288,5.21,8.48,30.82,12.32,12303,11.54,21.73,29.844,12.22,12965,8.61,16.05,31.195,12.14,15227,3.7,4.78,28.406,12.37,12226,11.76,22.14,29.414,12.04
