date,S1counts,S1SM,S1Perm,S1Temp,S1Volt,S2counts,S2SM,S2Perm,S2Temp,S2Volt,S3counts,S3SM,S3Perm,S3Temp,S3Volt,S4counts,S4SM,S4Perm,S4Temp,S4Volt,S5counts,S5SM,S5Perm,S5Temp,S5Volt,S6counts,S6SM,S6Perm,S6Temp,S6Volt,S7counts,S7SM,S7Perm,S7Temp,S7Volt,S8counts,S8SM,S8Perm,S8Temp,S8Volt,S9counts,S9SM,S9Perm,S9Temp,S9Volt,S10counts,S10SM,S10Perm,S10Temp,S10Volt
30.09.2020 23:28:39,13661,6.52,11.51,29.938,12.01,12066,12.81,23.99,30.766,12.01,11982,12.5,23.45,30.156,12.14,13149,7.75,14.24,29.852,11.88,11932,13.29,24.81,29.93,11.83,12415,10.63,20.04,29.633,11.98,13242,7.7,14.11,30.961,11.93,11690,14.32,26.5,30.359,12.04,12848,8.85,16.54,29.5,11.88,13672,6.58,11.65,29.828,12.01
30.09.2020 23:38:39,13661,6.52,11.51,29.906,12.01,12066,12.81,23.99,30.773,12.01,11982,12.5,23.45,30.133,12.14,13149,7.75,14.24,29.867,11.88,11932,13.29,24.81,29.953,11.83,12416,10.63,20.03,29.672,12.01,13239,7.71,14.13,30.867,11.93,11690,14.32,26.5,30.352,12.04,12845,8.86,16.56,29.438,11.88,13672,6.58,11.65,29.859,12.04
30.09.2020 23:48:39,13661,6.52,11.51,29.797,12.01,12068,12.8,23.96,30.742,12.01,11982,12.5,23.45,30.156,12.14,13149,7.75,14.24,29.844,11.88,11933,13.29,24.8,29.961,11.83,12415,10.63,20.04,29.672,12.01,13238,7.71,14.14,30.797,11.93,11690,14.32,26.5,30.359,12.04,12830,8.92,16.67,29.336,11.88,13671,6.58,11.65,29.891,12.04
30.09.2020 23:58:39,13662,6.51,11.51,29.695,12.04,12068,12.8,23.96,30.711,12.01,11982,12.5,23.45,30.133,12.14,13149,7.75,14.24,29.867,11.88,11933,13.29,24.8,29.945,11.83,12416,10.63,20.03,29.656,12.01,13235,7.72,14.16,30.742,11.93,11690,14.32,26.5,30.367,12.04,12819,8.96,16.75,29.266,11.88,13671,6.58,11.65,29.836,12.04
01.10.2020 00:08:39,13663,6.51,11.5,29.641,12.01,12068,12.8,23.96,30.664,12.01,11982,12.5,23.45,30.133,12.14,13149,7.75,14.24,29.836,11.88,11934,13.28,24.79,29.961,11.83,12416,10.63,20.03,29.656,12.01,13232,7.73,14.18,30.703,11.93,11689,14.33,26.51,30.367,12.06,12818,8.96,16.76,29.234,11.88,13672,6.58,11.65,29.852,12.04
01.10.2020 00:18:39,13664,6.51,11.49,29.547,12.01,12069,12.79,23.95,30.648,12.01,11982,12.5,23.45,30.133,12.14,13149,7.75,14.24,29.844,11.88,11934,13.28,24.79,29.961,11.83,12417,10.62,20.03,29.664,12.01,13229,7.74,14.2,30.68,11.93,11689,14.33,26.51,30.391,12.06,12823,8.94,16.72,29.156,11.88,13671,6.58,11.65,29.898,12.04
01.10.2020 00:28:39,13665,6.51,11.49,29.438,12.04,12070,12.79,23.95,30.602,12.01,11982,12.5,23.45,30.148,12.14,13149,7.75,14.24,29.852,11.88,11933,13.29,24.8,29.969,11.83,12416,10.63,20.03,29.664,12.01,13226,7.74,14.21,30.602,11.93,11689,14.33,26.51,30.352,12.06,12822,8.95,16.73,29.102,11.88,13672,6.58,11.65,29.891,12.04
01.10.2020 00:38:39,13666,6.5,11.48,29.367,12.01,12070,12.79,23.95,30.617,12.01,11982,12.5,23.45,30.156,12.14,13149,7.75,14.24,29.844,11.88,11934,13.28,24.79,29.984,11.83,12416,10.63,20.03,29.68,12.01,13225,7.75,14.22,30.539,11.93,11689,14.33,26.51,30.406,12.04,12826,8.93,16.7,29.047,11.88,13671,6.58,11.65,29.898,12.04
01.10.2020 00:48:39,13668,6.5,11.47,29.273,12.01,12071,12.78,23.94,30.586,12.01,11982,12.5,23.45,30.195,12.14,13149,7.75,14.24,29.844,11.88,11934,13.28,24.79,29.961,11.83,12417,10.62,20.03,29.664,12.01,13223,7.75,14.23,30.492,11.93,11689,14.33,26.51,30.367,12.04,12832,8.91,16.65,28.992,11.88,13671,6.58,11.65,29.875,12.04
01.10.2020 00:58:39,13668,6.5,11.47,29.219,12.01,12072,12.78,23.93,30.57,12.01,11982,12.5,23.45,30.188,12.14,13149,7.75,14.24,29.852,11.88,11935,13.28,24.78,29.953,11.83,12417,10.62,20.03,29.68,12.01,13220,7.76,14.25,30.438,11.93,11688,14.34,26.53,30.359,12.04,12817,8.96,16.77,28.914,11.88,13671,6.58,11.65,29.898,12.04
